Year,Ships,Tons,Kilowatts
1979,17915,611401,953125.9787326064
1980,20855,639914,1035770.5328779585
1981,25670,697098,1144382.6341143309
1982,32572,754773,1248688.684732517
1983,39474,812448,1352994.7353507031
1984,49126,NA,1527046.576486555
1985,57488,943014,1608909.6359487553
1986,66956,1050996,1789164.9639826398
1987,84583,1185271,2115552.340755544
1988,92281,1308318,2489015.8237759313
1989,99351,1432570,2845753.2326139803
1990,103454,1488437,3107562.899882179
1991,99827,1663535,3318722
1992,97423,1816164,3678786
1993,100508,1896083,3820826
1994,105686,2023444,4058140
1995,113321,2504490,5042109
1996,116912,2651150,5430776
1997,115642,2722227,5615251
1998,114802,2854555,5950875
1999,112421,2968765,6153676
2e3,114054,3151940,6505512
2001,111107,3179807,6491338
2002,105959,3189577,6607090
2003,77662,2769280,5720909
2004,76649,2742936,5811956
2005,75153,2684546,5764790
2006,75643,2721651,5886786
2007,73643,2796611,6006855
2008,70786,2804746,5994463
2009,70382.5,2834347,5989603.5
2010,69979,2863948,5984744
2011,68737,2824214,5807383
2012,67933,2979119,5959059
2013,63912,3204053,6090204
2014,63743,3344342,6232341
2015,60836,3512225,6365406
2016,57284,3694988,6528238
