Species,Common_name,Begin_study_date,End_study_date,Life_history_process,sex,Fucntional_form,Value,Units,Parameter_name,Sample_size,Method,Large_marine_ecosystem,More_specific_location,Reference,,
Larimichthys polyactis,Yellow croaker,1997,2000,growth,both,von Bertalanffy,251.55,mm,Linf,NA,ELEFAN,East China Sea,"27°00′～ 34°00′N , 禁渔区线～127°00′E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2).",,
Larimichthys polyactis,Yellow croaker,1997,2000,growth,both,von Bertalanffy,0.49,NA,k,NA,ELEFAN,East China Sea,"27°00′～ 34°00′N , 禁渔区线～127°00′E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2).",,
Larimichthys polyactis,Yellow croaker,1997,2000,growth,both,von Bertalanffy,N/A,NA,t0,NA,ELEFAN,East China Sea,"27°00′～ 34°00′N , 禁渔区线～127°00′E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2).",,
Larimichthys polyactis,Yellow croaker,1997,2000,natural mortality,both,Pauly's empirical equation,0.49,NA,M,NA,NA,East China Sea,"27°00′～ 34°00′N , 禁渔区线～127°00′E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2).",,
Larimichthys polyactis,Yellow croaker,1997,2000,natural mortality,both,Pauly's empirical equation,16.34,°C,T,NA,NA,East China Sea,"27°00′～ 34°00′N , 禁渔区线～127°00′E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2).",,
Larimichthys polyactis,Yellow croaker,1997,2000,weight at length,both,power function,1.7028*10^-5,NA,a,NA,NA,East China Sea,"27°00′～ 34°00′N , 禁渔区线～127°00′E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2).",,
Larimichthys polyactis,Yellow croaker,1997,2000,weight at length,both,power function,3.0532,NA,b,NA,NA,East China Sea,"27°00′～ 34°00′N , 禁渔区线～127°00′E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2).",,
Larimichthys polyactis,Yellow croaker,1997,2000,total mortality,both,NA,2.13,NA,Z,NA,length-converted catch curve,East China Sea,"27°00′～ 34°00′N , 禁渔区线～127°00′E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2).",,
Larimichthys polyactis,Yellow croaker,1997,2000,fishing mortality,both,NA,1.64,NA,F,NA,NA,East China Sea,"27°00′～ 34°00′N , 禁渔区线～127°00′E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2).",,
Larimichthys polyactis,Yellow croaker,1997,2000,exploitation rate,both,NA,0.77,NA,E,NA,NA,East China Sea,"27°00′～ 34°00′N , 禁渔区线～127°00′E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2).",,
Larimichthys polyactis,Small yellow croaker,1960,1960,weight at length ,male,power function,2.47*10^-2,NA,a,57,NA,Yellow Sea,southern Yellow Sea ,Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3).,,
Larimichthys polyactis,Small yellow croaker,1960,1960,weight at length ,male,power function,2.87,NA,b,57,NA,Yellow Sea,southern Yellow Sea ,Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3).,,
Larimichthys polyactis,Small yellow croaker,1960,1960,weight at length ,female,power function,0.61*10^-2,NA,a,98,NA,Yellow Sea,southern Yellow Sea ,Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3).,,
Larimichthys polyactis,Small yellow croaker,1960,1960,weight at length ,female,power function,3.35,NA,b,98,NA,Yellow Sea,southern Yellow Sea ,Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3).,,
Larimichthys polyactis,Small yellow croaker,1986,1986,weight at length ,male,power function,6.57*10^-2,NA,a,25,NA,Yellow Sea,southern Yellow Sea ,Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3).,,
Larimichthys polyactis,Small yellow croaker,1986,1986,weight at length ,male,power function,2.43,NA,b,25,NA,Yellow Sea,southern Yellow Sea ,Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3).,,
Larimichthys polyactis,Small yellow croaker,1986,1986,weight at length ,female,power function,4.35*10^-2,NA,a,13,NA,Yellow Sea,southern Yellow Sea ,Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3).,,
Larimichthys polyactis,Small yellow croaker,1986,1986,weight at length ,female,power function,2.62,NA,b,13,NA,Yellow Sea,southern Yellow Sea ,Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3).,,
Larimichthys polyactis,Small yellow croaker,1994,1994,weight at length ,male,power function,10.27*10^-2,NA,a,20,NA,Yellow Sea,southern Yellow Sea ,Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3).,,
Larimichthys polyactis,Small yellow croaker,1994,1994,weight at length ,male,power function,2.32,NA,b,20,NA,Yellow Sea,southern Yellow Sea ,Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3).,,
Larimichthys polyactis,Small yellow croaker,1994,1994,weight at length ,female,power function,5.69*10^-2,NA,a,53,NA,Yellow Sea,southern Yellow Sea ,Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3).,,
Larimichthys polyactis,Small yellow croaker,1994,1994,weight at length ,female,power function,2.52,NA,b,53,NA,Yellow Sea,southern Yellow Sea ,Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3).,,
Larimichthys polyactis,Small yellow croaker,1998,1998,weight at length ,male,power function,8.13*10^-2,NA,a,31,NA,Yellow Sea,southern Yellow Sea ,Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3).,,
Larimichthys polyactis,Small yellow croaker,1998,1998,weight at length ,male,power function,2.846,NA,b,31,NA,Yellow Sea,southern Yellow Sea ,Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3).,,
Larimichthys polyactis,Small yellow croaker,1998,1998,weight at length ,female,power function,4.29*10^-2,NA,a,32,NA,Yellow Sea,southern Yellow Sea ,Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3).,,
Larimichthys polyactis,Small yellow croaker,1998,1998,weight at length ,female,power function,2.65,NA,b,32,NA,Yellow Sea,southern Yellow Sea ,Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3).,,
Larimichthys polyactis,Small yellow croaker,2001,2001,weight at length ,male,power function,4.37*10^-2,NA,a,50,NA,Yellow Sea,southern Yellow Sea ,Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3).,,
Larimichthys polyactis,Small yellow croaker,2001,2001,weight at length ,male,power function,2.63,NA,b,50,NA,Yellow Sea,southern Yellow Sea ,Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3).,,
Larimichthys polyactis,Small yellow croaker,2001,2001,weight at length ,female,power function,6.14*10^-2,NA,a,56,NA,Yellow Sea,southern Yellow Sea ,Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3).,,
Larimichthys polyactis,Small yellow croaker,2001,2001,weight at length ,female,power function,2.51,NA,b,56,NA,Yellow Sea,southern Yellow Sea ,Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3).,,
