Year,tYear,Linf,k,t0,M,M_change,a,b,F,Mat50,Mat95,tCatch,Rzero_allGAMs,Rzero_noTV,Rzero_changeM,Sel50,Sel95,,Rzero_noTV_1210,Rzero_allGAMs_1210,Rzero_changeM_1210,,Rzero_noTV_3010,Rzero_allGAMs_3010,Rzero_changeM_3010
1,1915,35.33209015,0.240626575,-1.165990492,0.277333514,0.2773335,1.91E-05,3.05929089,0.130492469,1.779636172,2.462834623,,34049.59258,59707.26975,30634.56394,19.03917187,24.51188904,,30045.45079,12424.95389,39257.82779,,550473.3315,7851.613099,91584.14862
2,1916,35.33209015,0.240626575,-1.165990492,0.277333514,0.2773335,1.91E-05,3.05929089,0.130492469,1.779636172,2.462834623,,34049.59258,59707.26975,30634.56394,19.03917187,24.51188904,,30045.45079,12424.95389,39257.82779,,550473.3315,7851.613099,91584.14862
3,1917,35.33209015,0.240626575,-1.165990492,0.277333514,0.2773335,1.91E-05,3.05929089,0.130492469,1.779636172,2.462834623,,34049.59258,59707.26975,30634.56394,19.03917187,24.51188904,,30045.45079,12424.95389,39257.82779,,550473.3315,7851.613099,91584.14862
4,1918,35.33209015,0.240626575,-1.165990492,0.277333514,0.2773335,1.91E-05,3.05929089,0.130492469,1.779636172,2.462834623,,34049.59258,59707.26975,30634.56394,19.03917187,24.51188904,,30045.45079,12424.95389,39257.82779,,550473.3315,7851.613099,91584.14862
5,1919,35.33209015,0.240626575,-1.165990492,0.277333514,0.2773335,1.91E-05,3.05929089,0.130492469,1.779636172,2.462834623,,34049.59258,59707.26975,30634.56394,19.03917187,24.51188904,,30045.45079,12424.95389,39257.82779,,550473.3315,7851.613099,91584.14862
6,1920,35.33209015,0.240626575,-1.165990492,0.277333514,0.2773335,1.91E-05,3.05929089,0.130492469,1.779636172,2.462834623,,34049.59258,59707.26975,30634.56394,19.03917187,24.51188904,,30045.45079,12424.95389,39257.82779,,550473.3315,7851.613099,91584.14862
7,1921,35.33209015,0.240626575,-1.165990492,0.277333514,0.2773335,1.91E-05,3.05929089,0.130492469,1.779636172,2.462834623,,34049.59258,59707.26975,30634.56394,19.03917187,24.51188904,,30045.45079,12424.95389,39257.82779,,550473.3315,7851.613099,91584.14862
8,1922,35.33209015,0.240626575,-1.165990492,0.277333514,0.2773335,1.91E-05,3.05929089,0.130492469,1.779636172,2.462834623,,34049.59258,59707.26975,30634.56394,19.03917187,24.51188904,,30045.45079,12424.95389,39257.82779,,550473.3315,7851.613099,91584.14862
9,1923,35.33209015,0.240626575,-1.165990492,0.277333514,0.2773335,1.91E-05,3.05929089,0.130492469,1.779636172,2.462834623,,34049.59258,59707.26975,30634.56394,19.03917187,24.51188904,,30045.45079,12424.95389,39257.82779,,550473.3315,7851.613099,91584.14862
10,1924,35.33209015,0.240626575,-1.165990492,0.277333514,0.2773335,1.91E-05,3.05929089,0.130492469,1.779636172,2.462834623,,34049.59258,59707.26975,30634.56394,19.03917187,24.51188904,,30045.45079,12424.95389,39257.82779,,550473.3315,7851.613099,91584.14862
11,1925,35.33209015,0.240626575,-1.165990492,0.277333514,0.2773335,1.91E-05,3.05929089,0.130492469,1.779636172,2.462834623,,34049.59258,59707.26975,30634.56394,19.03917187,24.51188904,,30045.45079,12424.95389,39257.82779,,550473.3315,7851.613099,91584.14862
12,1926,35.33209015,0.240626575,-1.165990492,0.277333514,0.2773335,1.91E-05,3.05929089,0.130492469,1.779636172,2.462834623,,34049.59258,59707.26975,30634.56394,19.03917187,24.51188904,,30045.45079,12424.95389,39257.82779,,550473.3315,7851.613099,91584.14862
13,1927,35.33209015,0.240626575,-1.165990492,0.277333514,0.2773335,1.91E-05,3.05929089,0.130492469,1.779636172,2.462834623,,34049.59258,59707.26975,30634.56394,19.03917187,24.51188904,,30045.45079,12424.95389,39257.82779,,550473.3315,7851.613099,91584.14862
