Province,Year,Large_yellow_croaker,Largehead_hairtail,Conger_eel
Tianjin,2016,NA,391,NA
Hebei,2016,1613,5722,NA
Liaoning Province,2016,54512,14432,895
Shanghai,2016,16,304,223
Jiangsu Province,2016,488,55341,8111
Zhejiang,2016,446,438756,88126
Fujian Province,2016,3873,173071,70850
Shandong,2016,1995,62458,25871
Guangdong,2016,25576,157920,86237
Guangxi,2016,NA,31174,13930
Hainan,2016,16041,166144,93995
Tianjin,2015,NA,572,NA
Hebei,2015,1067,6240,NA
Liaoning Province,2015,47855,13275,1002
Shanghai,2015,33,379,198
Jiangsu Province,2015,501,54176,7903
Zhejiang,2015,405,414978,86608
Fujian Province,2015,4706,180086,69768
Shandong,2015,1891,69506,28136
Guangdong,2015,23746,152279,85024
Guangxi,2015,NA,31318,13931
Hainan,2015,15311,161375,89095
Tianjin,2014,NA,203,NA
Hebei,2014,1467,5745,NA
Liaoning Province,2014,47221,17113,1135
Shanghai,2014,148,330,240
Jiangsu Province,2014,476,56673,8046
Zhejiang,2014,402,440483,85087
Fujian Province,2014,4266,166897,67795
Shandong,2014,2247,90415,23855
Guangdong,2014,23566,141228,81821
Guangxi,2014,NA,30971,13759
Hainan,2014,11414,146754,89147
Tianjin,2013,NA,9,NA
Hebei,2013,2197,5740,NA
Liaoning Province,2013,26565,21846,64
Shanghai,2013,10,517,348
Jiangsu Province,2013,620,57322,8358
Zhejiang,2013,615,452498,86460
Fujian Province,2013,3857,165420,66928
Shandong,2013,3303,82402,18536
Guangdong,2013,22606,133344,80163
Guangxi,2013,NA,31424,13908
Hainan,2013,11302,146172,88263
Tianjin,2012,NA,16,NA
Hebei,2012,3962,5800,NA
Liaoning Province,2012,14212,19334,82
Shanghai,2012,9,453,355
Jiangsu Province,2012,179,62537,8789
Zhejiang,2012,608,469439,79643
Fujian Province,2012,3343,167192,67816
Shandong,2012,9101,84263,23762
Guangdong,2012,22965,133598,76945
Guangxi,2012,NA,30933,13950
Hainan,2012,10855,144656,87949
Tianjin,2011,NA,17,NA
Hebei,2011,3947,6236,NA
Liaoning Province,2011,17254,41529,871
Shanghai,2011,NA,475,394
Jiangsu Province,2011,45,62229,8998
Zhejiang,2011,481,529633,82423
Fujian Province,2011,3950,164638,65225
Shandong,2011,8752,79619,27900
Guangdong,2011,18461,132140,56348
Guangxi,2011,NA,31279,13728
Hainan,2011,10468,139046,84218
Tianjin,2010,NA,24,NA
Hebei,2010,3121,5735,NA
Liaoning Province,2010,15369,23262,435
Shanghai,2010,NA,395,485
Jiangsu Province,2010,1042,73643,9412
Zhejiang,2010,447,495985,83998
Fujian Province,2010,3556,168188,62430
Shandong,2010,6980,103694,18449
Guangdong,2010,22288,133100,71892
Guangxi,2010,NA,34172,14150
Hainan,2010,10004,134332,79313
Tianjin,2008,NA,25,NA
Hebei,2008,4544,5355,NA
Liaoning Province,2008,13331,12807,508
Shanghai,2008,9,432,419
Jiangsu Province,2008,3,79423,6891
Zhejiang,2008,555,504422,84535
Fujian Province,2008,5254,154211,56215
Shandong,2008,6112,121514,24927
Guangdong,2008,16865,144725,48031
Guangxi,2008,NA,31617,13812
Hainan,2008,9249,138190,85630
Beijing,2007,NA,NA,NA
Tianjin,2007,NA,1927,288
Hebei,2007,2499,8249,NA
Liaoning Province,2007,21105,25349,498
Shanghai,2007,NA,529,335
Jiangsu Province,2007,2389,96347,5602
Zhejiang,2007,577,361357,67360
Fujian Province,2007,3246,178787,58580
Shandong,2007,8084,131713,29149
Guangdong,2007,15462,160633,54701
Guangxi,2007,NA,31845,14396
Hainan,2007,16030,116375,68350
Zhongnong Development Group,2007,NA,38890,1000
Tianjin,2006,NA,1725,332
Hebei,2006,2978,8992,NA
Liaoning Province,2006,18317,58289,686
Shanghai,2006,NA,2451,577
Jiangsu Province,2006,2005,104195,4738
Zhejiang,2006,940,510532,69458
Fujian Province,2006,3252,214550,168710
Shandong,2006,10976,155726,32323
Guangdong,2006,26698,171894,47052
Guangxi,2006,NA,42279,18118
Hainan,2006,13413,110019,54262
Zhongnong Development Group,2006,NA,39485,1015
Tianjin,2005,NA,2021,113
Hebei,2005,2990,8163,NA
Liaoning Province,2005,25294,75208,177
Shanghai,2005,NA,7498,754
Jiangsu Province,2005,946,99877,11362
Zhejiang,2005,2085,465858,68265
Fujian Province,2005,6928,220882,73231
Shandong,2005,10068,125544,31656
Guangdong,2005,23392,176767,44111
Guangxi,2005,NA,44106,19513
Hainan,2005,3846,37007,44537
Zhongnong Development Group,2005,NA,21638,NA
Tianjin,2004,NA,2675,67
Hebei,2004,3105,8805,NA
Liaoning Province,2004,28517,60700,1677
Shanghai,2004,NA,5564,603
Jiangsu Province,2004,1159,109460,12790
Zhejiang,2004,3097,552932,90191
Fujian Province,2004,10384,220490,73132
Shandong,2004,12577,121681,31081
Guangdong,2004,26472,185330,45409
Guangxi,2004,747,41280,22480
Hainan,2004,3152,89991,41898
Tianjin,2003,NA,1885,NA
Hebei,2003,4971,370,NA
Liaoning Province,2003,31968,53343,1138
Shanghai,2003,NA,1642,988
Jiangsu Province,2003,1077,83110,9943
Zhejiang,2003,3283,531009,83180
Fujian Province,2003,10559,202995,59248
Shandong,2003,9391,99252,24962
Guangdong,2003,36880,184700,46904
Guangxi,2003,388,36651,24800
Hainan,2003,3144,69900,41128
Tianjin,2002,NA,NA,NA
Hebei,2002,3272,9741,NA
Liaoning Province,2002,30635,28271,259
Shanghai,2002,NA,1220,605
Jiangsu Province,2002,1079,73887,5748
Zhejiang,2002,965,550098,78652
Fujian Province,2002,3422,182418,51544
Shandong,2002,7627,133417,25560
Guangdong,2002,34274,169193,45755
Guangxi,2002,NA,45502,19549
Hainan,2002,653,69984,29987
Tianjin,2001,NA,70,NA
Hebei,2001,3140,13417,NA
Liaoning Province,2001,19138,20997,209
Shanghai,2001,5,1219,458
Jiangsu Province,2001,1928,84836,5044
Zhejiang,2001,1153,594804,68804
Fujian Province,2001,3221,186527,53720
Shandong,2001,5381,90017,25048
Guangdong,2001,33201,156543,45131
Guangxi,2001,NA,39545,22914
Hainan,2001,122,61675,22560
Tianjin,2000,NA,NA,NA
Hebei,2000,4982,13534,NA
Liaoning Province,2000,11058,24414,585
Shanghai,2000,NA,NA,719
Jiangsu Province,2000,3141,85056,3010
Zhejiang,2000,1632,649108,63398
Fujian Province,2000,4260,173578,50705
Shandong,2000,6917,93446,17670
Guangdong,2000,44483,147095,50391
Guangxi,2000,NA,43367,14379
Hainan,2000,NA,NA,19640
Tianjin,1999,550,800,NA
Hebei,1999,1700,10542,10
Liaoning Province,1999,16749,30223,424
