Year,tYear,Linf,k,t0,M,a,b,Z,F,Mat50,Mat95,tCatch,Rzero_allGAMs,Rzero_noTV,Rzero_changeM
1,1918,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,c(39654.27,c(32742.64,24443.8
2,1919,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
3,1920,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
4,1921,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
5,1922,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
6,1923,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
7,1924,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
8,1925,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
9,1926,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
10,1927,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
11,1928,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
12,1929,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
13,1930,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
14,1931,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
15,1932,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
16,1933,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
17,1934,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
18,1935,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
19,1936,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
20,1937,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
21,1938,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
22,1939,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
23,1940,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
24,1941,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
25,1942,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
26,1943,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
27,1944,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
28,1945,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
29,1946,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
30,1947,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
31,1948,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
32,1949,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
33,1950,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
34,1951,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
35,1952,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
36,1953,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
37,1954,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
38,1955,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
39,1956,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
40,1957,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
41,1958,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,3,5,,39654.27,32742.64,24443.8
42,1959,35.33209015,0.240626575,-1.165990492,0.277333514,1.91E-05,3.05929089,0.607678851,0.196415293,2.9685714,4.942857,,39654.27,32742.64,24443.8
43,1960,35.09630269,0.245693262,-1.153125303,0.281527512,2.07E-05,3.048584541,0.664459044,0.262338118,2.9371429,4.885714,,39654.27,32742.64,24443.8
44,1961,34.86051523,0.250756085,-1.140260113,0.285721511,2.23E-05,3.037880424,0.721221417,0.328244088,2.9057143,4.828571,,39654.27,32742.64,24443.8
45,1962,34.62472776,0.255809615,-1.127394924,0.289915509,2.39E-05,3.027189702,0.777876864,0.394048933,2.8742857,4.771429,,39654.27,32742.64,24443.8
46,1963,34.3889403,0.260848032,-1.114529735,0.294109507,2.55E-05,3.016525772,0.834318462,0.459651528,2.8428571,4.714286,,39654.27,32742.64,24443.8
47,1964,34.15315283,0.265865585,-1.101664545,0.298303506,2.71E-05,3.005902857,0.890434893,0.524946681,2.8114286,4.657143,,39654.27,32742.64,24443.8
48,1965,33.91736537,0.270856808,-1.088799356,0.302497504,2.86E-05,2.995338503,0.946097274,0.589812948,2.78,4.6,,39654.27,32742.64,24443.8
49,1966,33.68157791,0.275816301,-1.075934167,0.306691502,3.02E-05,2.984851086,1.001172332,0.654124815,2.7485714,4.542857,,39654.27,32742.64,24443.8
50,1967,33.44579044,0.280738667,-1.063068978,0.3108855,3.17E-05,2.97445898,1.055526792,0.717756772,2.7171429,4.485714,,39654.27,32742.64,24443.8
51,1968,33.21000298,0.285618508,-1.050203788,0.315079499,3.32E-05,2.96418056,1.109027379,0.780583307,2.6857143,4.428571,,39654.27,32742.64,24443.8
52,1969,32.97421552,0.290450426,-1.037338599,0.319273497,3.46E-05,2.954034202,1.161540819,0.842478909,2.6542857,4.371429,,39654.27,32742.64,24443.8
53,1970,32.73842805,0.295229023,-1.02447341,0.323467495,3.61E-05,2.944038282,1.212933837,0.903318067,2.6228571,4.314286,,39654.27,32742.64,24443.8
54,1971,32.50264059,0.299948901,-1.011608221,0.327661493,3.75E-05,2.934211173,1.263073159,0.962975269,2.5914286,4.257143,,39654.27,32742.64,24443.8
55,1972,32.26685313,0.304604661,-0.998743031,0.331855492,3.88E-05,2.924571251,1.311825511,1.021325004,2.56,4.2,,39654.27,32742.64,24443.8
56,1973,32.03106566,0.309190907,-0.985877842,0.33604949,4.01E-05,2.915136892,1.359057617,1.07824176,2.5285714,4.142857,,39654.27,32742.64,24443.8
57,1974,31.7952782,0.313702239,-0.973012653,0.340243488,4.13E-05,2.90592647,1.404636203,1.133600026,2.4971429,4.085714,,39654.27,32742.64,24443.8
58,1975,31.55949074,0.318133261,-0.960147464,0.344437486,4.25E-05,2.896958361,1.448427996,1.187274291,2.4657143,4.028571,,39654.27,32742.64,24443.8
59,1976,31.32370327,0.322478573,-0.947282274,0.348631485,4.36E-05,2.88825094,1.49029972,1.239139043,2.4342857,3.971429,,39654.27,32742.64,24443.8
60,1977,31.08791581,0.326732779,-0.934417085,0.352825483,4.46E-05,2.879822581,1.530118101,1.289068771,2.4028571,3.914286,,39654.27,32742.64,24443.8
61,1978,30.85212835,0.33089048,-0.921551896,0.357019481,4.56E-05,2.871691661,1.567749864,1.336937964,2.3714286,3.857143,,39654.27,32742.64,24443.8
62,1979,30.61634088,0.334946278,-0.908686706,0.361213479,4.65E-05,2.863876554,1.603061735,1.382621109,2.34,3.8,,39654.27,32742.64,24443.8
63,1980,30.38055342,0.338894775,-0.895821517,0.365407478,4.73E-05,2.856395635,1.63592044,1.425992696,2.3085714,3.742857,,39654.27,32742.64,24443.8
64,1981,30.14476596,0.342730573,-0.882956328,0.369601476,4.80E-05,2.84926728,1.666192704,1.466927214,2.2771429,3.685714,,39654.27,32742.64,24443.8
65,1982,29.90897849,0.346448274,-0.870091139,0.373795474,4.86E-05,2.842509863,1.693745252,1.50529915,2.2457143,3.628571,,39654.27,32742.64,24443.8
66,1983,29.67319103,0.350042481,-0.857225949,0.377989473,4.91E-05,2.83614176,1.71844481,1.540982994,2.2142857,3.571429,,39654.27,32742.64,24443.8
67,1984,29.43740357,0.353508502,-0.84436076,0.382183471,4.96E-05,2.830179835,1.740174893,1.573869018,2.1828571,3.514286,,39654.27,32742.64,24443.8
68,1985,29.2016161,0.356844476,-0.831495571,0.386377469,4.99E-05,2.824634908,1.758886169,1.603910629,2.1514286,3.457143,,39654.27,32742.64,24443.8
69,1986,28.96582864,0.36004992,-0.818630382,0.390571467,5.01E-05,2.819514851,1.774562159,1.631092115,2.12,3.4,6397,39654.27,32742.64,24443.8
70,1987,28.73004118,0.363127036,-0.805765192,0.394765466,5.02E-05,2.814820385,1.787250632,1.655458148,2.0885714,3.342857,3337,60489.84,49086.47,50710.64
71,1988,28.49425371,0.366078697,-0.792900003,0.398959464,5.02E-05,2.81054519,1.797015416,1.677068499,2.0571429,3.285714,2774,53997.85,56398.36,73605.97
72,1989,28.25846625,0.368907779,-0.780034814,0.403153462,5.01E-05,2.806681548,1.803920342,1.695982938,2.0257143,3.228571,2561,80466.34,81021.45,58496.8
73,1990,28.02267879,0.371617153,-0.767169625,0.40734746,5.00E-05,2.803221739,1.808029241,1.712261235,1.9942857,3.171429,3840,99804.31,93867.67,107386.66
74,1991,27.78689132,0.374209695,-0.754304435,0.411541459,4.97E-05,2.800158045,1.809405941,1.725963159,1.9628571,3.114286,8968,95950.81,71518.56,98272.92
75,1992,27.55110386,0.376688278,-0.741439246,0.415735457,4.93E-05,2.797482746,1.808114274,1.737148481,1.9314286,3.057143,15286,134430.32,54761.26,138922.31
76,1993,27.3153164,0.379055775,-0.728574057,0.419929455,4.88E-05,2.795188124,1.804218069,1.74587697,1.9,3,14230,212306.75,193505.7,132425.67
77,1994,27.07952893,0.381315061,-0.715708868,0.424123453,4.83E-05,2.793266458,1.797781156,1.752208397,1.8685714,2.942857,24845,284599.65,272406.87,220996.06
78,1995,26.84374147,0.383469009,-0.702843678,0.428317452,4.76E-05,2.791708954,1.788867365,1.756202531,1.8371429,2.885714,35335,327508.93,121623.37,312825.81
79,1996,26.60795401,0.385520492,-0.689978489,0.43251145,4.69E-05,2.790502508,1.777540527,1.757919142,1.8057143,2.828571,48988,352847.57,314160.19,246405.78
80,1997,26.37216654,0.387472386,-0.6771133,0.436705448,4.60E-05,2.789632941,1.763864471,1.757418001,1.7742857,2.771429,54987,706918.16,541870.65,533333.21
81,1998,26.13637908,0.389327563,-0.66424811,0.440899446,4.51E-05,2.789086073,1.747903027,1.754758877,1.7428571,2.714286,78079,765713.58,425555.36,542992.08
82,1999,25.90059162,0.391089267,-0.651382921,0.445093445,4.42E-05,2.788846888,1.729729474,1.750010537,1.7114286,2.657143,96327,614845.68,404547.53,481750.65
83,2000,25.66480415,0.392762226,-0.638517732,0.449287443,4.31E-05,2.788897016,1.709454888,1.743277728,1.68,2.6,116018,457057.6,238256.24,317009.82
84,2001,25.42901669,0.394351827,-0.625652543,0.453481441,4.20E-05,2.789216578,1.687207387,1.734681432,1.6485714,2.542857,82805,629942.11,406030.85,534338.94
85,2002,25.19322923,0.39586487,-0.612787353,0.45767544,4.08E-05,2.789782424,1.663151975,1.724377775,1.6171429,2.485714,90156,578200.78,314166.84,342912.01
86,2003,24.95744176,0.397309431,-0.599922164,0.461869438,3.96E-05,2.790568433,1.637487293,1.71255491,1.5857143,2.428571,78225,624535.13,324486.78,583422.53
87,2004,24.7216543,0.398693968,-0.587056975,0.466063436,3.83E-05,2.791547573,1.610418491,1.69940719,1.5542857,2.371429,85447,626641.71,374248.92,389565.05
88,2005,24.48586684,0.400027569,-0.574191786,0.470257434,3.70E-05,2.792691288,1.582153086,1.685128968,1.5228571,2.314286,78869,748748.04,293922.37,527097.77
89,2006,24.25007937,0.401319757,-0.561326596,0.474451433,3.56E-05,2.793969915,1.55290864,1.669914597,1.4914286,2.257143,84179,785492.91,465999.61,680698.32
90,2007,24.01429191,0.402580062,-0.548461407,0.478645431,3.42E-05,2.795353695,1.522906023,1.65395843,1.46,2.2,86141,900053.17,377182.78,577464.49
91,2008,23.77850444,0.403817523,-0.535596218,0.482839429,3.28E-05,2.796813934,1.492357264,1.637454819,1.4285714,2.142857,93932,1008813.75,438110.6,807383.75
92,2009,23.54271698,0.405040138,-0.522731029,0.487033427,3.14E-05,2.79832432,1.461451739,1.620591632,1.3971429,2.085714,97901,1187671.05,529823.46,938793.07
93,2010,23.30692952,0.406254225,-0.509865839,0.491227426,3.00E-05,2.799862431,1.430340468,1.603521351,1.3657143,2.028571,105678,1357129.43,423281.62,891771.82
94,2011,23.07114205,0.407464246,-0.49700065,0.495421424,2.86E-05,2.801411445,1.39913097,1.586352242,1.3342857,1.971429,119891,1144953.57,404496.32,763750.34
95,2012,22.83535459,0.40867359,-0.484135461,0.499615422,2.72E-05,2.802962068,1.3679051,1.569166661,1.3028571,1.914286,112629,1089962.98,424866.91,672567.48
96,2013,22.59956713,0.409882933,-0.471270271,0.50380942,2.58E-05,2.804512692,1.336679231,1.551981081,1.2714286,1.857143,97855,1105508.79,673276.09,814043.34
97,2014,22.59956713,0.409882933,-0.471270271,0.50380942,2.58E-05,2.804512692,1.336679231,1.551981081,1.24,1.8,104483,1089489.73),673276.09),814043.34)
98,2015,22.59956713,0.409882933,-0.471270271,0.50380942,2.58E-05,2.804512692,1.336679231,1.551981081,1.2085714,1.742857,,,,
99,,,,,,,,,,1.1771429,1.685714,,,,
100,,,,,,,,,,1.1457143,1.628571,,,,
101,,,,,,,,,,1.1142857,1.571429,,,,
102,,,,,,,,,,1.0828571,1.514286,,,,
103,,,,,,,,,,1.0514286,1.457143,,,,
104,,,,,,,,,,1.02,1.4,,,,
105,,,,,,,,,,0.9885714,1.342857,,,,
106,,,,,,,,,,0.9571429,1.285714,,,,
107,,,,,,,,,,0.9257143,1.228571,,,,
108,,,,,,,,,,0.8942857,1.171429,,,,
109,,,,,,,,,,0.8628571,1.114286,,,,
110,,,,,,,,,,0.8314286,1.057143,,,,
111,,,,,,,,,,0.8,1,,,,
112,,,,,,,,,,,,,,,
